Job Title,Job Link,Company Name,Location,Salary,Post Date,Job Description,Skills,Last Date to Apply,Expiry
Operation Executive,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=nvbnfadqLOk%3D&RowId=nvbnfadqLOk%3D&OJ=7k4L7QQ5IOM%3D,CHANDRA BHAN,Etawah; Uttar Pradesh,Not Specified,2025-07-05,Content Creation Create short and long videos for platforms including product showcases educational content and client testimonials Edit images for ecommerce listings including background removal resizing and formatting Design banners and promotional materials for online use Ecommerce and Social Med...,Ecommerce;Images;listings;upload;Video Content Creator,2025-08-04,Currently Open
Backend Developer,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=n4nMDMxCFcE%3D&RowId=n4nMDMxCFcE%3D&OJ=7k4L7QQ5IOM%3D,MANNUBHAI (SERVICE EXPERT),Gurugram (Gurgaon); Haryana,300000 - 720000 (per annum),2025-07-05,"Develop and maintain backend services using PHP Laravel, CodeIgniter or the MERN Stack Design and manage databases with MySQL NoSQL MongoDB and Firebase Build and integrate RESTful APIs and web services Collaborate with frontend developers and cross-functional teams Use Git for version control and t...",web;Codeigniter;PHP Laravel;git;Frontend,2025-08-04,Currently Open
AC Category Executive,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=QmvX%2Fr2tbnM%3D&RowId=QmvX%2Fr2tbnM%3D&OJ=7k4L7QQ5IOM%3D,MANNUBHAI (SERVICE EXPERT),Gurugram (Gurgaon); Haryana,180000 - 300000 (per annum),2025-07-05,We are hiring 2 Female AC Category Executives for our Gurgaon branch The ideal candidates should have 1 to 3 years of experience in sales or a service oriented role Candidates must be fluent in Hindi with good English communication skills confident in interacting with customers and capable of achiev...,gurgaon;interacting;AC Category,2025-08-04,Currently Open
IT Admin Executive,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=y71OV4BLgvI%3D&RowId=y71OV4BLgvI%3D&OJ=7k4L7QQ5IOM%3D,MANNUBHAI (SERVICE EXPERT),Gurugram (Gurgaon); Haryana,180000 - 300000 (per annum),2025-07-05,Provide basic IT support hardware software troubleshooting printer Wi Fi setup etc Coordinate with vendors for IT equipment AMC and repairs Maintain records for office assets IT inventory and AMC renewals Handle administrative responsibilities like stationery management filing and visitor coordinati...,AMC;visitor;stationery;AMC renewals;printer Wi Fi setup,2025-08-04,Currently Open
AC Category Manager,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=cLEH7416jaI%3D&RowId=cLEH7416jaI%3D&OJ=7k4L7QQ5IOM%3D,MANNUBHAI (SERVICE EXPERT),Gurugram (Gurgaon); Haryana,144000 - 300000 (per annum),2025-07-05,We are hiring an AC Category Manager for our Gurgaon location The ideal candidate should be confident well-presented and experienced in client handling product sales and team training The role focuses on managing the Air Conditioner category and ensuring performance across sales inventory and custom...,gurgaon;AC Category;Conditioner category,2025-08-04,Currently Open
Beauty Sales Executive,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=565dCPIMPrg%3D&RowId=565dCPIMPrg%3D&OJ=7k4L7QQ5IOM%3D,MANNUBHAI (SERVICE EXPERT),Gurugram (Gurgaon); Haryana,144000 - 300000 (per annum),2025-07-05,"We are hiring a Beauty Sales Executive for our Gurgaon location. The candidate should be fluent in Hindi with good English communication skills and should have prior experience in sales or a similar customer-facing industry. The role requires confident interaction with clients, building strong relat...",interaction;gurgaon;beauty,2025-08-04,Currently Open
Customer Care Executive,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=P%2BSRHVM0LDc%3D&RowId=P%2BSRHVM0LDc%3D&OJ=7k4L7QQ5IOM%3D,MANNUBHAI (SERVICE EXPERT),Gurugram (Gurgaon); Haryana,120000 - 180000 (per annum),2025-07-05,Make follow up calls to existing and potential customers Maintain accurate records of calls and update CRM regularly Coordinate with internal teams to ensure timely responses Provide basic product/service information when needed Ensure customer queries and concerns are handled professionally,responses;CRM;ProductService,2025-08-04,Currently Open
Domestic Sales Executive,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=ETMg1TiOHWo%3D&RowId=ETMg1TiOHWo%3D&OJ=7k4L7QQ5IOM%3D,MANNUBHAI (SERVICE EXPERT),Gurugram (Gurgaon); Haryana,120000 - 600000 (per annum),2025-07-05,Handle daily customer sales inquiries Share product service details and convert leads Follow up with clients and maintain strong relationships Achieve monthly quarterly sales targets Maintain accurate sales records and update CRM systems,CRM,2025-08-04,Currently Open
Purchasing Manager,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=1VyXmvT69sU%3D&RowId=1VyXmvT69sU%3D&OJ=7k4L7QQ5IOM%3D,MANNUBHAI (SERVICE EXPERT),Gurugram (Gurgaon); Haryana,120000 - 600000 (per annum),2025-07-05,Minimum 5 years of team management experience Procurement experience in retail distribution Strong negotiation analytical & presentation skills Commercial awareness of market trends Proficiency in technology & inventory management systems Excellent communication & interpersonal skills Willingness to...,awareness;Procurement;Willingness;Retail Distribution,2025-08-04,Currently Open
Subscription Sales Manager,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=hsvqCRpbdmM%3D&RowId=hsvqCRpbdmM%3D&OJ=7k4L7QQ5IOM%3D,MANNUBHAI (SERVICE EXPERT),Gurugram (Gurgaon); Haryana,120000 - 600000 (per annum),2025-07-05,Drive monthly annual subscription sales targets Convert leads into paying subscribers via campaigns Manage end to end sales cycle lead gen to closing Work with marketing to boost conversions Ensure customer satisfaction & retention Report accurate sales forecasts to management Were looking for someo...,Marketing;campaigns;Retention;satisfaction;BOOST,2025-08-04,Currently Open
Executive Assistant to CEO,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=Z8PWK3wVRB8%3D&RowId=Z8PWK3wVRB8%3D&OJ=7k4L7QQ5IOM%3D,MANNUBHAI (SERVICE EXPERT),Gurugram (Gurgaon); Haryana,360000 - 720000 (per annum),2025-07-05,Manage CEOs calendar appointments & meetings Organize travel logistics & internal coordination Handle emails calls and official correspondence Draft and prepare reports presentations & minutes Maintain confidentiality and high professional standards Support with project follow-ups and daily business...,Presentations;appointments;Logistics;Draft;confidentiality,2025-08-04,Currently Open
Franchise Sales Manager,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=HC11%2FAQGfYk%3D&RowId=HC11%2FAQGfYk%3D&OJ=7k4L7QQ5IOM%3D,MANNUBHAI (SERVICE EXPERT),Gurugram (Gurgaon); Haryana,180000 - 420000 (per annum),2025-07-05,Drive sales by converting leads into franchise partners Present and explain product service offerings to potential clients Build and maintain long-term relationships with clients Consistently achieve monthly and quarterly sales targets. Track leads update client information in CRM and maintain sales...,offerings;CRM;interactions,2025-08-04,Currently Open
Seo Expert,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=1VYlzbBcrp4%3D&RowId=1VYlzbBcrp4%3D&OJ=7k4L7QQ5IOM%3D,MANNUBHAI (SERVICE EXPERT),Gurugram (Gurgaon); Haryana,Not Specified,2025-07-05,Optimize website content to improve search engine visibility Perform keyword research and competitive analysis Handle onpage offpage and technical SEO Monitor and analyze SEO performance metrics Stay up to date with the latest SEO trends and algorithm changes Use tools like Google Analytics SEMrush ...,SEO;website;Algorithm;engine visibility;Analytics SEMrush Ahrefs,2025-08-04,Currently Open
NDT TECHNICIAN,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=HWjDErGhXZo%3D&RowId=HWjDErGhXZo%3D&OJ=7k4L7QQ5IOM%3D,apt inspection technologies,Hyderabad; Telangana,480000 - 516000 (per annum),2025-07-05,Involves site mechanical inspection UT MPT DPT UTG OXIDE SCALE PAUT CORROSION MAPPING in power plant refineries,refineries;PAUT CORROSION;UT MPT DPT UTG OXIDE,2025-08-04,Currently Open
Supervisor,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=EhtqA9CBoaA%3D&RowId=EhtqA9CBoaA%3D&OJ=7k4L7QQ5IOM%3D,JB INDUSTRIES,All India,Not Specified,2025-07-05,Jb industries manufacturing trading leveling sticking bending marketing management solutions full time work nearby cities,Marketing;cities;trading leveling;Jb industries,2025-08-04,Currently Open
supervisor,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=Ahl69U5URbo%3D&RowId=Ahl69U5URbo%3D&OJ=7k4L7QQ5IOM%3D,apt inspection technologies,Sri Potti Sriramulu Nellore; Andhra Pradesh,720000 - 840000 (per annum),2025-07-05,"Involves supervision of workshop ,travelling and presentation to nearby to industries. Knowledge in workshop machines like CNC lathe Plano miller etc. Drawings review.",drawings;industries;machines;CNC lathe Plano,2025-08-04,Currently Open
Security Guard Chennai,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=utx%2BwbQ0%2FuM%3D&RowId=utx%2BwbQ0%2FuM%3D&OJ=7k4L7QQ5IOM%3D,MILDJOB MANPOWER CONSULTANCY,All India,180000 - 252000 (per annum),2025-07-05,"A Security Guard is responsible for maintaining a safe and secure environment by patrolling and monitoring premises, responding to emergency situations, and protecting people and property This includes conducting routine checks of the facilities, inspecting security systems and equipment, investigat...",Security;Patrolling,2025-08-04,Currently Open
BUSINESS DEVELOPMENT EXECUTIVE,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=5ejDHGwIGko%3D&RowId=5ejDHGwIGko%3D&OJ=7k4L7QQ5IOM%3D,apt inspection technologies,Hyderabad; Telangana; Sri Potti Sriramulu Nellore; Andhra Pradesh,Min. 600000 (per annum),2025-07-05,"Involves extensive travelling and presentations to all heavy engineering plants etc.Business Development of Technical Services like repair and welding of equipment,advanced NDT etc.",Presentations;Welding;plants;NDT,2025-08-04,Currently Open
Automobile mechanic,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=RjYJnoTpxqo%3D&RowId=RjYJnoTpxqo%3D&OJ=7k4L7QQ5IOM%3D,RAMADAS HIREMANGALORE PRASANNA,Bangalore; Karnataka,180000 - 240000 (per annum),2025-07-04,We need two wheeler mechanic who can do all vehicle mechanic Service. We want who knows riding two wheeler and also holds a valid driving licence,Mechanic,2025-08-03,Currently Open
Car driver,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=BoZfcdmJwo0%3D&RowId=BoZfcdmJwo0%3D&OJ=7k4L7QQ5IOM%3D,RAMADAS HIREMANGALORE PRASANNA,Bangalore; Karnataka,264000 - 300000 (per annum),2025-07-04,Car Driver job. Company job. Airport pick up and drop. Both lady and gent can apply. Minimum of 1 year driving licence needed. Permanent hardworking drivers required.,LICENCE;gent;Car Driver;Cab Driver;LADY,2025-08-03,Currently Open
START UP YOUR CAREER WITH B ANDHAN BANK DSA BRANCH BANKING HR MONIKA,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=qYKgUXHXRME%3D&RowId=qYKgUXHXRME%3D&OJ=7k4L7QQ5IOM%3D,LUCKNOW ROYAL INFRADEVELOPERS PRIVATE LIMITED,All India,180000 - 312000 (per annum),2025-07-03,Best Place Give Your Golden As Employ Dear candidates CORPORATE Bank (DSA) hiring fresher. candidates Candidate Criteria 1 Qualification H.S Or Graduate 2 Age 18 to 35 year 3 Male and Female both candidates can apply this requirement Job Details Job Role - Back Office Executive K y c Verification Of...,Good Communication Skill,2025-08-02,Currently Open
Counter Sales,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=a%2F96FNvAxvk%3D&RowId=a%2F96FNvAxvk%3D&OJ=7k4L7QQ5IOM%3D,OMAX WATCHES INDIA PRIVATE LIMITED,All India,Not Specified,2025-07-03,"Managing counter sales, place the product at the right location, make sales to customer and explain about the brand",Sales good communication,2025-08-02,Currently Open
Supervisor,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=pWEuId9DQA0%3D&RowId=pWEuId9DQA0%3D&OJ=7k4L7QQ5IOM%3D,Harsh Jain,All India,Not Specified,2025-07-02,A to z automobile spare parts repair maintenance sele and service marketing trading leveling speaking bending and trading,Automobile;trading;Sele;marketing trading leveling,2025-08-01,Currently Open
URGENT HIRING NOTICE FOR BACK OFFICE EXECUTIVE IN A XIS BANK,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=PWVbSwJB23I%3D&RowId=PWVbSwJB23I%3D&OJ=7k4L7QQ5IOM%3D,UNIBIZ MULTI TRADE PRIVATE LIMITED,West Bengal,Not Specified,2025-07-02,URGENT HIRING NOTICE FOR BACK OFFICE EXECUTIVE IN A XIS BANK. JOB PROFILE 01. BACK OFFICE SEGMENT 02. KYC VERIFICATION OFFICER 3. 03. DOCUMENTS COLLECTION OFFICER 4. 04. PHONE BANKING. MONTHLY PAYOUT- 18000 TO 35000 JOB LOCATION - AS PER YOUR PIN CODE. JOB - FULL TIME PERMANENT JOB. AGE - 18 TO 34 Y...,CV;Passport Size Photo;KYC VERIFICATION;Banking;9330325319 HRTINA,2025-08-01,Currently Open
CSC Operator,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=o%2F2Rwk9KA3o%3D&RowId=o%2F2Rwk9KA3o%3D&OJ=7k4L7QQ5IOM%3D,Sardar CSC Center,Surat; Gujarat,60000 - 120000 (per annum),2025-07-02,CSC Office Work And Field Work documently work Computer work CSC Office Work And Field Work documently work Computer workCSC Office Work And Field Work documently work Computer work,Csc;documently;workCSC,2025-08-01,Currently Open
SECURITY SUPERVISOR,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=d9fmyBeRECE%3D&RowId=d9fmyBeRECE%3D&OJ=7k4L7QQ5IOM%3D,CAPITAL PROTECTION FORCE PRIVATE LIMITED,All India,Not Specified,2025-07-02,WE ARE HIRING SECURITY SUPERVISORS FOR ALL OVER INDIA. MALE CANDIDATES WHO ARE GRADUATE PASS ARE ELIGIBLE TO APPLY. INITIALLY WE WILL BE PROVIDING TRAINING FOLLOWED WITH PLACEMENT,Security Supervisors,2025-08-01,Currently Open
SECURITY GUARD,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=yerBWGyMbfo%3D&RowId=yerBWGyMbfo%3D&OJ=7k4L7QQ5IOM%3D,CAPITAL PROTECTION FORCE PRIVATE LIMITED,All India,Not Specified,2025-07-02,WE ARE HIRING SECURITY GUARDS FOR ALL OVER INDIA. MALE CANDIDATES WHO ARE 10TH OR 12TH PASS ARE ELIGIBLE TO APPLY. INITIALLY WE WILL BE PROVIDING TRAINING FOLLOWED WITH PLACEMENT,Security,2025-08-01,Currently Open
Debt Recovery Agent,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=Jmk4oUyD%2F40%3D&RowId=Jmk4oUyD%2F40%3D&OJ=7k4L7QQ5IOM%3D,ESSAR MANAGEMENT SERVICES PRIVATE LIMITED,Ernakulam; Kerala,Not Specified,2025-07-01,"* Maintain accurate records of traced leads and reporting findings. * Client visit, debt recovery and field operations * Collection of debt from customers * Must have two wheeler and license",Collection Agent;debt;Collection Assistant,2025-07-31,Currently Open
Teachers,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=a%2BGxqCLhhNA%3D&RowId=a%2BGxqCLhhNA%3D&OJ=7k4L7QQ5IOM%3D,AdWavez Global,Allahabad; Uttar Pradesh,Not Specified,2025-07-01,"AdWavez Global is inviting applications for passionate and qualified teachers for schools and coaching institutes in Prayagraj and nearby regions. We are hiring for multiple teaching positions including: PGT (English, Physics, Chemistry, Mathematics, Biology, Commerce) TGT (All subjects) Primary Tea...",Biology;Teacher;ComputerIT Instructors;GraduatePostgraduate;Mathematics;chemistry;subjects,2025-07-31,Currently Open
Asstt Finance Manager,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=91dFbDM3bL8%3D&RowId=91dFbDM3bL8%3D&OJ=7k4L7QQ5IOM%3D,RESEARCH AID INSTRUMENTS & SERVICES,All India,144000 - 240000 (per annum),2025-07-01,Ours is a distribution firm which provide lab consumables and equipments in Academia and industrial segments. We need a experienced candidate who can handle finance management.,Finance;distribution;equipments;Consumables;Academia,2025-07-31,Currently Open
City Career Agent,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=nS8UuDUmcbQ%3D&RowId=nS8UuDUmcbQ%3D&OJ=7k4L7QQ5IOM%3D,LIFE INSURANCE CORPORATION OF INDIA,Mumbai Suburban; Maharashtra,Not Specified,2025-06-30,"Vacancy for City Career Agent. Retired Persons, housewifes, college students who want full time or part time income can join us. Vacancies all over Maharashtra",Agent,2025-07-30,Currently Open
Site supervisor,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=%2BGmG%2F8xNY8s%3D&RowId=%2BGmG%2F8xNY8s%3D&OJ=7k4L7QQ5IOM%3D,YOGESH KUMAR PAYAL,All India,Not Specified,2025-06-30,Road construction building construction cool construction over bridge construction sadak construction at helper supervisor electrician ki ati shighra avashyakta Hai job payen Apne nearby city mein,bridge construction sadak construction;city mein,2025-07-30,Currently Open
Office assistant executive,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=EdBq%2Fz%2BuWAM%3D&RowId=EdBq%2Fz%2BuWAM%3D&OJ=7k4L7QQ5IOM%3D,HEADLINE DIGITAL FUTURE CONTROL INDIA PRIVATE LIMITED,All India,Not Specified,2025-06-29,"Office assistant, Telecaller, counsellor ,security guard ,Supervisor, field officer, helper, assistant manager,",Telecaller ;Counsellor ;Security,2025-07-29,Currently Open
Auto cad Executive,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=1RwM2AeiMII%3D&RowId=1RwM2AeiMII%3D&OJ=7k4L7QQ5IOM%3D,BVM SECURITY AND MANPOWER SERVICES,Kolkata; West Bengal,Not Specified,2025-06-28,"Auto cad,3D designer required at kolkata on urgent basis. Experience in interior decoration would be given extra advantage. Must understand customer requirements and same should be reflected on his presentation.",Auto CAD;3D,2025-07-28,Currently Open
Management Trainee,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=AEv1CuBZ0SI%3D&RowId=AEv1CuBZ0SI%3D&OJ=7k4L7QQ5IOM%3D,EMPIRE,Kannur; Kerala; Kottayam; Thiruvananthapuram,Not Specified,2025-06-27,"Twenty five (25) vacancies for management trainee post. Minimum qualification required is Plus Two. Gender required is MALE, with experience or fresher. Vacancy available in Trivandrum, Kottayam, and Kannoor.",Data Entry;Office Clerk;Office Attednant;Data Entry Clerk,2025-07-27,Currently Open
Education Consultant,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=14C6MSkjj7E%3D&RowId=14C6MSkjj7E%3D&OJ=7k4L7QQ5IOM%3D,EMPIRE,Kannur; Kerala; Kottayam; Thiruvananthapuram,Not Specified,2025-06-27,"Vacancies for Education Consultant Posts. Job role: Sales and marketing of education product. Minimum qualification required is any Graduation . Gender required is MALE, with experience or fresher. Vacancy available in Trivandrum, Kottayam, and Kannoor.",Marketing,2025-07-27,Currently Open
Team Leader,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=AwfxkED1RM0%3D&RowId=AwfxkED1RM0%3D&OJ=7k4L7QQ5IOM%3D,PIONEER MOTORS,Thiruvananthapuram; Kerala,144000 - 300000 (per annum),2025-06-27,Five vacancies for team leader posts. Male candidates with or without experience can apply. Minimum qualification required is plus two.,Team leader,2025-07-27,Currently Open
Delivery Boy,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=QgupzpsMvAQ%3D&RowId=QgupzpsMvAQ%3D&OJ=7k4L7QQ5IOM%3D,PIONEER MOTORS,Thiruvananthapuram; Kerala,Not Specified,2025-06-27,Five vacancies for Delivery Boy. SSLC or Plus Two candidates with two wheeler license with or without experience can apply.,delivery,2025-07-27,Currently Open
Assistant Sales Manager,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=VoCPivmD4w0%3D&RowId=VoCPivmD4w0%3D&OJ=7k4L7QQ5IOM%3D,PIONEER MOTORS,Thiruvananthapuram; Kerala,144000 - 180000 (per annum),2025-06-27,Five vacancies for assistant sales manager posts. Job role is coordinating sales activities. Male candidates with any degree qualification with two years of experience in the automobile industry can apply.,Sales;Automobile,2025-07-27,Currently Open
Front Office Assistant,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=4HDNIvJfyMo%3D&RowId=4HDNIvJfyMo%3D&OJ=7k4L7QQ5IOM%3D,PIONEER MOTORS,Thiruvananthapuram; Kerala,144000 - 3000000 (per annum),2025-06-27,"Five vacancies for front office assistant. Job role is assisting front office operations, file work and customer support. Qualification required is any degree",Ofice administration,2025-07-27,Currently Open
